idx,folder_name,class_name
0,Faces,face
1,Leopards,leopard
2,Motorbikes,motorbike
3,accordion,accordion
4,airplanes,airplane
5,anchor,anchor
6,ant,ant
7,barrel,barrel
8,bass,bass
9,beaver,beaver
10,binocular,binocular
11,bonsai,bonsai
12,brain,brain
13,brontosaurus,brontosaurus
14,buddha,buddha
15,butterfly,butterfly
16,camera,camera
17,cannon,cannon
18,car_side,car_side
19,ceiling_fan,ceiling_fan
20,cellphone,cellphone
21,chair,chair
22,chandelier,chandelier
23,cougar_body,cougar_body
24,cougar_face,cougar_face
25,crab,crab
26,crayfish,crayfish
27,crocodile,crocodile
28,crocodile_head,crocodile_head
29,cup,cup
30,dalmatian,dalmatian
31,dollar_bill,dollar_bill
32,dolphin,dolphin
33,dragonfly,dragonfly
34,electric_guitar,electric_guitar
35,elephant,elephant
36,emu,emu
37,euphonium,euphonium
38,ewer,ewer
39,ferry,ferry
40,flamingo,flamingo
41,flamingo_head,flamingo_head
42,garfield,garfield
43,gerenuk,gerenuk
44,gramophone,gramophone
45,grand_piano,grand_piano
46,hawksbill,hawksbill
47,headphone,headphone
48,hedgehog,hedgehog
49,helicopter,helicopter
50,ibis,ibis
51,inline_skate,inline_skate
52,joshua_tree,joshua_tree
53,kangaroo,kangaroo
54,ketch,ketch
55,lamp,lamp
56,laptop,laptop
57,llama,llama
58,lobster,lobster
59,lotus,lotus
60,mandolin,mandolin
61,mayfly,mayfly
62,menorah,menorah
63,metronome,metronome
64,minaret,minaret
65,nautilus,nautilus
66,octopus,octopus
67,okapi,okapi
68,pagoda,pagoda
69,panda,panda
70,pigeon,pigeon
71,pizza,pizza
72,platypus,platypus
73,pyramid,pyramid
74,revolver,revolver
75,rhino,rhino
76,rooster,rooster
77,saxophone,saxophone
78,schooner,schooner
79,scissors,scissors
80,scorpion,scorpion
81,sea_horse,sea_horse
82,snoopy,snoopy
83,soccer_ball,soccer_ball
84,stapler,stapler
85,starfish,starfish
86,stegosaurus,stegosaurus
87,stop_sign,stop_sign
88,strawberry,strawberry
89,sunflower,sunflower
90,tick,tick
91,trilobite,trilobite
92,umbrella,umbrella
93,watch,watch
94,water_lilly,water_lilly
95,wheelchair,wheelchair
96,wild_cat,wild_cat
97,windsor_chair,windsor_chair
98,wrench,wrench
99,yin_yang,yin_yang
