idx,folder_name,class_name
0,banded,banded
1,blotchy,blotchy
2,braided,braided
3,bubbly,bubbly
4,bumpy,bumpy
5,chequered,chequered
6,cobwebbed,cobwebbed
7,cracked,cracked
8,crosshatched,crosshatched
9,crystalline,crystalline
10,dotted,dotted
11,fibrous,fibrous
12,flecked,flecked
13,freckled,freckled
14,frilly,frilly
15,gauzy,gauzy
16,grid,grid
17,grooved,grooved
18,honeycombed,honeycombed
19,interlaced,interlaced
20,knitted,knitted
21,lacelike,lacelike
22,lined,lined
23,marbled,marbled
24,matted,matted
25,meshed,meshed
26,paisley,paisley
27,perforated,perforated
28,pitted,pitted
29,pleated,pleated
30,polka-dotted,polka-dotted
31,porous,porous
32,potholed,potholed
33,scaly,scaly
34,smeared,smeared
35,spiralled,spiralled
36,sprinkled,sprinkled
37,stained,stained
38,stratified,stratified
39,striped,striped
40,studded,studded
41,swirly,swirly
42,veined,veined
43,waffled,waffled
44,woven,woven
45,wrinkled,wrinkled
46,zigzagged,zigzagged
