idx,folder_name,class_name
0,apple_pie,apple_pie
1,baby_back_ribs,baby_back_ribs
2,baklava,baklava
3,beef_carpaccio,beef_carpaccio
4,beef_tartare,beef_tartare
5,beet_salad,beet_salad
6,beignets,beignets
7,bibimbap,bibimbap
8,bread_pudding,bread_pudding
9,breakfast_burrito,breakfast_burrito
10,bruschetta,bruschetta
11,caesar_salad,caesar_salad
12,cannoli,cannoli
13,caprese_salad,caprese_salad
14,carrot_cake,carrot_cake
15,ceviche,ceviche
16,cheese_plate,cheese_plate
17,cheesecake,cheesecake
18,chicken_curry,chicken_curry
19,chicken_quesadilla,chicken_quesadilla
20,chicken_wings,chicken_wings
21,chocolate_cake,chocolate_cake
22,chocolate_mousse,chocolate_mousse
23,churros,churros
24,clam_chowder,clam_chowder
25,club_sandwich,club_sandwich
26,crab_cakes,crab_cakes
27,creme_brulee,creme_brulee
28,croque_madame,croque_madame
29,cup_cakes,cup_cakes
30,deviled_eggs,deviled_eggs
31,donuts,donuts
32,dumplings,dumplings
33,edamame,edamame
34,eggs_benedict,eggs_benedict
35,escargots,escargots
36,falafel,falafel
37,filet_mignon,filet_mignon
38,fish_and_chips,fish_and_chips
39,foie_gras,foie_gras
40,french_fries,french_fries
41,french_onion_soup,french_onion_soup
42,french_toast,french_toast
43,fried_calamari,fried_calamari
44,fried_rice,fried_rice
45,frozen_yogurt,frozen_yogurt
46,garlic_bread,garlic_bread
47,gnocchi,gnocchi
48,greek_salad,greek_salad
49,grilled_cheese_sandwich,grilled_cheese_sandwich
50,grilled_salmon,grilled_salmon
51,guacamole,guacamole
52,gyoza,gyoza
53,hamburger,hamburger
54,hot_and_sour_soup,hot_and_sour_soup
55,hot_dog,hot_dog
56,huevos_rancheros,huevos_rancheros
57,hummus,hummus
58,ice_cream,ice_cream
59,lasagna,lasagna
60,lobster_bisque,lobster_bisque
61,lobster_roll_sandwich,lobster_roll_sandwich
62,macaroni_and_cheese,macaroni_and_cheese
63,macarons,macarons
64,miso_soup,miso_soup
65,mussels,mussels
66,nachos,nachos
67,omelette,omelette
68,onion_rings,onion_rings
69,oysters,oysters
70,pad_thai,pad_thai
71,paella,paella
72,pancakes,pancakes
73,panna_cotta,panna_cotta
74,peking_duck,peking_duck
75,pho,pho
76,pizza,pizza
77,pork_chop,pork_chop
78,poutine,poutine
79,prime_rib,prime_rib
80,pulled_pork_sandwich,pulled_pork_sandwich
81,ramen,ramen
82,ravioli,ravioli
83,red_velvet_cake,red_velvet_cake
84,risotto,risotto
85,samosa,samosa
86,sashimi,sashimi
87,scallops,scallops
88,seaweed_salad,seaweed_salad
89,shrimp_and_grits,shrimp_and_grits
90,spaghetti_bolognese,spaghetti_bolognese
91,spaghetti_carbonara,spaghetti_carbonara
92,spring_rolls,spring_rolls
93,steak,steak
94,strawberry_shortcake,strawberry_shortcake
95,sushi,sushi
96,tacos,tacos
97,takoyaki,takoyaki
98,tiramisu,tiramisu
99,tuna_tartare,tuna_tartare
100,waffles,waffles
