idx,folder_name,class_name
0,Abyssinian,abyssinian
1,american_bulldog,american_bulldog
2,american_pit_bull_terrier,american_pit_bull_terrier
3,basset_hound,basset_hound
4,beagle,beagle
5,Bengal,bengal
6,Birman,birman
7,Bombay,bombay
8,boxer,boxer
9,British_Shorthair,british_shorthair
10,chihuahua,chihuahua
11,Egyptian_Mau,egyptian_mau
12,english_cocker_spaniel,english_cocker_spaniel
13,english_setter,english_setter
14,german_shorthaired,german_shorthaired
15,great_pyrenees,great_pyrenees
16,havanese,havanese
17,japanese_chin,japanese_chin
18,keeshond,keeshond
19,leonberger,leonberger
20,Maine_Coon,maine_coon
21,miniature_pinscher,miniature_pinscher
22,newfoundland,newfoundland
23,Persian,persian
24,pomeranian,pomeranian
25,pug,pug
26,Ragdoll,ragdoll
27,Russian_Blue,russian_blue
28,saint_bernard,saint_bernard
29,samoyed,samoyed
30,scottish_terrier,scottish_terrier
31,shiba_inu,shiba_inu
32,Siamese,siamese
33,Sphynx,sphynx
34,staffordshire_bull_terrier,staffordshire_bull_terrier
35,wheaten_terrier,wheaten_terrier
36,yorkshire_terrier,yorkshire_terrier
