idx,folder_name,class_name
0,a/abbey,abbey
1,a/airplane_cabin,airplane_cabin
2,a/airport_terminal,airport_terminal
3,a/alley,alley
4,a/amphitheater,amphitheater
5,a/amusement_arcade,amusement_arcade
6,a/amusement_park,amusement_park
7,a/anechoic_chamber,anechoic_chamber
8,a/apartment_building/outdoor,outdoor apartment_building
9,a/apse/indoor,indoor apse
10,a/aquarium,aquarium
11,a/aqueduct,aqueduct
12,a/arch,arch
13,a/archive,archive
14,a/arrival_gate/outdoor,outdoor arrival_gate
15,a/art_gallery,art_gallery
16,a/art_school,art_school
17,a/art_studio,art_studio
18,a/assembly_line,assembly_line
19,a/athletic_field/outdoor,outdoor athletic_field
20,a/atrium/public,public atrium
21,a/attic,attic
22,a/auditorium,auditorium
23,a/auto_factory,auto_factory
24,b/badlands,badlands
25,b/badminton_court/indoor,indoor badminton_court
26,b/baggage_claim,baggage_claim
27,b/bakery/shop,shop bakery
28,b/balcony/exterior,exterior balcony
29,b/balcony/interior,interior balcony
30,b/ball_pit,ball_pit
31,b/ballroom,ballroom
32,b/bamboo_forest,bamboo_forest
33,b/banquet_hall,banquet_hall
34,b/bar,bar
35,b/barn,barn
36,b/barndoor,barndoor
37,b/baseball_field,baseball_field
38,b/basement,basement
39,b/basilica,basilica
40,b/basketball_court/outdoor,outdoor basketball_court
41,b/bathroom,bathroom
42,b/batters_box,batters_box
43,b/bayou,bayou
44,b/bazaar/indoor,indoor bazaar
45,b/bazaar/outdoor,outdoor bazaar
46,b/beach,beach
47,b/beauty_salon,beauty_salon
48,b/bedroom,bedroom
49,b/berth,berth
50,b/biology_laboratory,biology_laboratory
51,b/bistro/indoor,indoor bistro
52,b/boardwalk,boardwalk
53,b/boat_deck,boat_deck
54,b/boathouse,boathouse
55,b/bookstore,bookstore
56,b/booth/indoor,indoor booth
57,b/botanical_garden,botanical_garden
58,b/bow_window/indoor,indoor bow_window
59,b/bow_window/outdoor,outdoor bow_window
60,b/bowling_alley,bowling_alley
61,b/boxing_ring,boxing_ring
62,b/brewery/indoor,indoor brewery
63,b/bridge,bridge
64,b/building_facade,building_facade
65,b/bullring,bullring
66,b/burial_chamber,burial_chamber
67,b/bus_interior,bus_interior
