idx,folder_name,class_name
0,Apply_Eye_Makeup,Apply_Eye_Makeup
1,Apply_Lipstick,Apply_Lipstick
2,Archery,Archery
3,Baby_Crawling,Baby_Crawling
4,Balance_Beam,Balance_Beam
5,Band_Marching,Band_Marching
6,Baseball_Pitch,Baseball_Pitch
7,Basketball,Basketball
8,Basketball_Dunk,Basketball_Dunk
9,Bench_Press,Bench_Press
10,Biking,Biking
11,Billiards,Billiards
12,Blow_Dry_Hair,Blow_Dry_Hair
13,Blowing_Candles,Blowing_Candles
14,Body_Weight_Squats,Body_Weight_Squats
15,Bowling,Bowling
16,Boxing_Punching_Bag,Boxing_Punching_Bag
17,Boxing_Speed_Bag,Boxing_Speed_Bag
18,Breast_Stroke,Breast_Stroke
19,Brushing_Teeth,Brushing_Teeth
20,Clean_And_Jerk,Clean_And_Jerk
21,Cliff_Diving,Cliff_Diving
22,Cricket_Bowling,Cricket_Bowling
23,Cricket_Shot,Cricket_Shot
24,Cutting_In_Kitchen,Cutting_In_Kitchen
25,Diving,Diving
26,Drumming,Drumming
27,Fencing,Fencing
28,Field_Hockey_Penalty,Field_Hockey_Penalty
29,Floor_Gymnastics,Floor_Gymnastics
30,Frisbee_Catch,Frisbee_Catch
31,Front_Crawl,Front_Crawl
32,Golf_Swing,Golf_Swing
33,Haircut,Haircut
34,Hammering,Hammering
35,Hammer_Throw,Hammer_Throw
36,Handstand_Pushups,Handstand_Pushups
37,Handstand_Walking,Handstand_Walking
38,Head_Massage,Head_Massage
39,High_Jump,High_Jump
40,Horse_Race,Horse_Race
41,Horse_Riding,Horse_Riding
42,Hula_Hoop,Hula_Hoop
43,Ice_Dancing,Ice_Dancing
44,Javelin_Throw,Javelin_Throw
45,Juggling_Balls,Juggling_Balls
46,Jumping_Jack,Jumping_Jack
47,Jump_Rope,Jump_Rope
48,Kayaking,Kayaking
49,Knitting,Knitting
50,Long_Jump,Long_Jump
51,Lunges,Lunges
52,Military_Parade,Military_Parade
53,Mixing,Mixing
54,Mopping_Floor,Mopping_Floor
55,Nunchucks,Nunchucks
56,Parallel_Bars,Parallel_Bars
57,Pizza_Tossing,Pizza_Tossing
58,Playing_Cello,Playing_Cello
59,Playing_Daf,Playing_Daf
60,Playing_Dhol,Playing_Dhol
61,Playing_Flute,Playing_Flute
62,Playing_Guitar,Playing_Guitar
63,Playing_Piano,Playing_Piano
64,Playing_Sitar,Playing_Sitar
65,Playing_Tabla,Playing_Tabla
66,Playing_Violin,Playing_Violin
67,Pole_Vault,Pole_Vault
68,Pommel_Horse,Pommel_Horse
69,Pull_Ups,Pull_Ups
70,Punch,Punch
71,Push_Ups,Push_Ups
72,Rafting,Rafting
73,Rock_Climbing_Indoor,Rock_Climbing_Indoor
74,Rope_Climbing,Rope_Climbing
75,Rowing,Rowing
76,Salsa_Spin,Salsa_Spin
77,Shaving_Beard,Shaving_Beard
78,Shotput,Shotput
79,Skate_Boarding,Skate_Boarding
80,Skiing,Skiing
81,Skijet,Skijet
82,Sky_Diving,Sky_Diving
83,Soccer_Juggling,Soccer_Juggling
84,Soccer_Penalty,Soccer_Penalty
85,Still_Rings,Still_Rings
86,Sumo_Wrestling,Sumo_Wrestling
87,Surfing,Surfing
88,Swing,Swing
89,Table_Tennis_Shot,Table_Tennis_Shot
90,Tai_Chi,Tai_Chi
91,Tennis_Swing,Tennis_Swing
92,Throw_Discus,Throw_Discus
93,Trampoline_Jumping,Trampoline_Jumping
94,Typing,Typing
95,Uneven_Bars,Uneven_Bars
96,Volleyball_Spiking,Volleyball_Spiking
97,Walking_With_Dog,Walking_With_Dog
98,Wall_Pushups,Wall_Pushups
99,Writing_On_Board,Writing_On_Board
100,Yo_Yo,Yo_Yo
